timestamp,Realidad,Naive_t+1,MA_t+1,ARIMA_t+1,Naive_t+5,MA_t+5,ARIMA_t+5,Naive_t+15,MA_t+15,ARIMA_t+15
2013-03-14 00:00:00,0,,,,,,,,,
2013-03-14 00:01:00,0,0.0,0.0,,,,,,,
2013-03-14 00:02:00,0,0.0,0.0,,,,,,,
2013-03-14 00:03:00,0,0.0,0.0,,,,,,,
2013-03-14 00:04:00,0,0.0,0.0,,,,,,,
2013-03-14 00:05:00,0,0.0,0.0,,0.0,0.0,,,,
2013-03-14 00:06:00,0,0.0,0.0,,0.0,0.0,,,,
2013-03-14 00:07:00,0,0.0,0.0,,0.0,0.0,,,,
2013-03-14 00:08:00,0,0.0,0.0,,0.0,0.0,,,,
2013-03-14 00:09:00,0,0.0,0.0,,0.0,0.0,,,,
2013-03-14 00:10:00,0,0.0,0.0,,0.0,0.0,,,,
2013-03-14 00:11:00,0,0.0,0.0,0.0,0.0,0.0,,,,
2013-03-14 00:12:00,0,0.0,0.0,0.0,0.0,0.0,,,,
2013-03-14 00:13:00,0,0.0,0.0,0.0,0.0,0.0,,,,
2013-03-14 00:14:00,0,0.0,0.0,0.0,0.0,0.0,,,,
2013-03-14 00:15:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013-03-14 00:16:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013-03-14 00:17:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013-03-14 00:18:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013-03-14 00:19:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013-03-14 00:20:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013-03-14 00:21:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013-03-14 00:22:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013-03-14 00:23:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013-03-14 00:24:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013-03-14 00:25:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:26:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:27:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:28:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:29:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:30:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:31:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:32:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:33:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:34:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:35:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:36:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:37:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:38:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:39:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:40:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:41:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:42:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:43:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:44:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:45:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:46:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:47:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:48:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:49:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:50:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:51:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:52:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:53:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:54:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14 00:55:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
